Customer_ID,Age,Income,Employment_Type,Credit_Score,DTI,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Region,Branch,Previous_Defaults,Late_Payments,Outstanding_Amount,Days_Past_Due,Loan_Status,Application_Date,Payment_Date,Age_Group,Income_Band,Credit_Score_Band,DTI_Band,Is_Delinquent,Is_Default,Loan_to_Income_Ratio,Outstanding_Pct,EMI_Estimate,Application_Year,Application_Month,Is_Overdue_30plus,Is_Overdue_90plus,Risk_Points,Risk_Segment
109779,50,36300.0,Salaried,575,15.5,Auto Loan,794000.0,12.63,84,Central,Nagpur,3,0,582400.0,0,Active,2023-11-02,2025-04-10,46-55,<3L,Poor (300-579),Low (<20%),0,0,21.87,73.4,14285.0,2023,2023-11,0,0,6,High Risk
110601,54,185500.0,Salaried,782,40.1,Personal Loan,363000.0,8.95,240,Central,Nagpur,0,2,85000.0,0,Active,2024-08-09,2026-07-20,46-55,<3L,Very Good (740-799),High (36-50%),0,0,1.96,23.4,3254.0,2024,2024-08,0,0,2,Low Risk
111964,28,56000.0,Self-Employed,563,18.8,Business Loan,1406000.0,10.86,12,West,Mumbai,3,1,0.0,0,Closed,2022-10-12,2025-01-26,26-35,<3L,Poor (300-579),Low (<20%),0,0,25.11,0.0,124173.0,2022,2022-10,0,0,6,High Risk
100810,29,32900.0,Salaried,644,23.2,Auto Loan,1063000.0,14.93,48,South,Bengaluru,0,2,0.0,0,Closed,2024-05-21,2024-08-26,26-35,<3L,Fair (580-669),Moderate (20-36%),0,0,32.31,0.0,29546.0,2024,2024-05,0,0,3,Medium Risk
101154,24,42000.0,Self-Employed,611,32.9,Personal Loan,268000.0,11.05,60,Central,Nagpur,0,2,148400.0,0,Active,2022-10-21,2023-07-05,18-25,<3L,Fair (580-669),Moderate (20-36%),0,0,6.38,55.4,5834.0,2022,2022-10,0,0,3,Medium Risk
108820,43,86100.0,Retired,557,41.4,Personal Loan,389000.0,6.0,12,Central,Bhopal,0,0,350800.0,0,Active,2022-02-07,2024-01-02,36-45,<3L,Poor (300-579),High (36-50%),0,0,4.52,90.2,33480.0,2022,2022-02,0,0,5,Medium Risk
109836,53,33800.0,Salaried,575,32.0,Auto Loan,1039000.0,8.09,180,West,Mumbai,0,0,743300.0,0,Active,2023-08-22,2024-12-22,46-55,<3L,Poor (300-579),Moderate (20-36%),0,0,30.74,71.5,9983.0,2023,2023-08,0,0,4,Medium Risk
110487,37,59900.0,Business Owner,718,36.9,Auto Loan,820000.0,9.92,12,North,Delhi,0,3,488300.0,0,Active,2024-11-07,2025-11-26,36-45,<3L,Good (670-739),High (36-50%),0,0,13.69,59.5,72061.0,2024,2024-11,0,0,4,Medium Risk
121411,52,37200.0,Salaried,752,28.3,Credit Card,226000.0,11.48,84,South,Chennai,0,1,49000.0,0,Active,2021-07-31,2023-02-22,46-55,<3L,Very Good (740-799),Moderate (20-36%),0,0,6.08,21.7,3927.0,2021,2021-07,0,0,1,Low Risk
110912,44,85000.0,Salaried,778,28.8,Credit Card,163000.0,9.26,180,South,Hyderabad,0,1,0.0,0,Closed,2024-01-11,2024-11-18,36-45,<3L,Very Good (740-799),Moderate (20-36%),0,0,1.92,0.0,1679.0,2024,2024-01,0,0,1,Low Risk
108860,18,37400.0,Self-Employed,632,36.3,Home Loan,4054000.0,10.83,12,South,Bengaluru,0,2,1452500.0,0,Active,2023-09-14,2025-04-19,18-25,<3L,Fair (580-669),High (36-50%),0,0,108.4,35.8,357978.0,2023,2023-09,0,0,4,Medium Risk
114794,22,73500.0,Unemployed,565,3.7,Business Loan,2026000.0,8.95,60,Central,Bhopal,0,2,1310800.0,0,Active,2024-08-16,2025-09-17,18-25,<3L,Poor (300-579),Low (<20%),0,0,27.56,64.7,42007.0,2024,2024-08,0,0,3,Medium Risk
118548,59,57300.0,Business Owner,487,22.6,Home Loan,4446000.0,13.56,240,West,Ahmedabad,0,2,0.0,0,Closed,2021-03-10,2021-10-22,56-65,<3L,Poor (300-579),Moderate (20-36%),0,0,77.59,0.0,53872.0,2021,2021-03,0,0,4,Medium Risk
114572,24,25400.0,Salaried,413,31.2,Home Loan,4446000.0,9.41,24,East,Bhubaneswar,0,1,2526000.0,0,Active,2023-10-06,2025-09-08,18-25,<3L,Poor (300-579),Moderate (20-36%),0,0,175.04,56.8,203952.0,2023,2023-10,0,0,4,Medium Risk
106540,28,35000.0,Salaried,656,26.1,Auto Loan,511000.0,10.49,12,Central,Raipur,1,0,79700.0,0,Active,2023-12-08,2024-03-21,26-35,<3L,Fair (580-669),Moderate (20-36%),0,0,14.6,15.6,45042.0,2023,2023-12,0,0,5,Medium Risk
102849,33,38100.0,Self-Employed,814,46.3,Personal Loan,599000.0,14.99,60,Central,Bhopal,0,1,535000.0,71,Delinquent,2024-03-07,2024-10-15,26-35,<3L,Excellent (800-900),High (36-50%),1,0,15.72,89.3,14247.0,2024,2024-03,1,0,2,Low Risk
