Customer_ID,Age,Income,Employment_Type,Credit_Score,DTI,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Region,Branch,Previous_Defaults,Late_Payments,Outstanding_Amount,Days_Past_Due,Loan_Status,Application_Date,Payment_Date
109779,50,36300.0,Salaried,575.0,15.5,Auto Loan,794000.0,12.63,84,Central,Nagpur,3,0,582400.0,0,Active,2023-11-02,2025-04-10
110601,54,185500.0,Salaried,782.0,40.1,Personal Loan,363000.0,8.95,240,Central,Nagpur,0,2,85000.0,0,Active,2024-08-09,2026-07-20
111964,28,56000.0,Self-Employed,563.0,18.8,Business Loan,1406000.0,10.86,12,West,Mumbai,3,1,0.0,0,Closed,2022-10-12,2025-01-26
100810,29,32900.0,Salaried,644.0,23.2,Auto Loan,1063000.0,14.93,48,South,Bengaluru,0,2,0.0,0,Closed,2024-05-21,2024-08-26
101154,24,42000.0,Self-Employed,611.0,32.9,Personal Loan,268000.0,11.05,60,Central,Nagpur,0,2,148400.0,0,active,2022-10-21,2023-07-05
108820,43,86100.0,Retired,557.0,41.4,Personal Loan,389000.0,6.0,12,Central,Bhopal,0,0,350800.0,0,Active,2022-02-07,2024-01-02
109836,53,33800.0,Salaried,575.0,32.0,Auto Loan,1039000.0,8.09,180,west,Mumbai,0,0,743300.0,0,Active,2023-08-22,2024-12-22
110487,37,59900.0,Business Owner,718.0,36.9,Auto Loan,820000.0,9.92,12,North,Delhi,0,3,488300.0,0,Active,2024-11-07,2025-11-26
121411,52,37200.0,Salaried,752.0,28.3,Credit Card,226000.0,11.48,84,South,Chennai,0,1,49000.0,0,Active,2021-07-31,2023-02-22
110912,44,85000.0,Salaried,778.0,28.8,Credit Card,163000.0,9.26,180,South,Hyderabad,0,1,0.0,0,Closed,2024-01-11,2024-11-18
108860,18,37400.0,Self-Employed,632.0,36.3,Home Loan,4054000.0,10.83,12,SOUTH ,Bengaluru,0,2,1452500.0,0,Active,2023-09-14,2025-04-19
114794,22,73500.0,Unemployed,565.0,-3.7,Business Loan,2026000.0,8.95,60,Central,Bhopal,0,2,1310800.0,0,Active,2024-08-16,2025-09-17
118548,59,57300.0,Business Owner,487.0,22.6,Home Loan,4643000.0,13.56,240,West,Ahmedabad,0,2,0.0,0,Closed,2021-03-10,2021-10-22
114572,24,25400.0,Salaried,413.0,31.2,Home Loan,5712000.0,9.41,24,East,Bhubaneswar,0,1,2526000.0,0,Active,2023-10-06,2025-09-08
106540,28,35000.0,Salaried,656.0,26.1,Auto Loan,511000.0,10.49,12,Central,Raipur,1,0,79700.0,0,Active,2023-12-08,2024-03-21
102849,33,38100.0,Self-Employed,814.0,46.3,Personal Loan,599000.0,14.99,60,Central,Bhopal,0,1,535000.0,71,Delinquent,2024-03-07,2024-10-15
115579,41,89400.0,Self-Employed,836.0,37.8,Credit Card,178000.0,9.1,240,Central,Nagpur,0,2,62700.0,0,Active,2022-09-30,2023-08-24
114431,20,197700.0,Salaried,606.0,25.7,Auto Loan,1276000.0,8.26,60,West,Mumbai,1,1,1273600.0,141,Default,2021-07-18,2021-09-26
112456,34,94500.0,Self-Employed,656.0,31.5,Home Loan,3456000.0,10.25,60,West,Ahmedabad,0,1,2027300.0,0,Active,2024-01-15,2024-10-13
112855,26,53600.0,Salaried,499.0,58.2,Credit Card,91000.0,15.83,48,North,Chandigarh,1,4,39400.0,0,Active,2022-10-11,2024-08-25
108988,33,,Business Owner,509.0,6.1,Credit Card,235000.0,7.51,12,West,Ahmedabad,2,3,208800.0,0,Active,2023-11-15,2025-02-28
105410,53,78300.0,Salaried,765.0,17.1,Home Loan,3371000.0,8.93,36,East,Patna,0,1,0.0,0,Closed,2024-11-16,2025-02-18
100028,45,53400.0,Self-Employed,600.0,53.6,Auto Loan,522000.0,6.0,84,West,Ahmedabad,0,1,217200.0,0,Active,06-Jul-2022,2024-04-04
116058,49,69300.0,Salaried,713.0,19.8,Credit Card,202000.0,12.83,36,North,Chandigarh,0,2,124200.0,0,Active,2023-10-30,2024-03-08
107292,32,66900.0,,612.0,25.7,Personal Loan,366000.0,10.71,120,South,Bengaluru,0,0,0.0,0,Closed,2024-04-22,2026-07-09
102389,51,38700.0,Salaried,624.0,24.6,Home Loan,3507000.0,8.0,12,South,Chennai,1,0,0.0,0,Closed,2023-06-20,2024-05-29
115365,23,18000.0,Salaried,837.0,32.9,Auto Loan,1195000.0,15.2,36,North,Lucknow,0,1,0.0,0,Closed,2021-05-03,2023-06-13
102941,52,37400.0,Self-Employed,506.0,32.6,Education Loan,726000.0,9.56,60,East,Bhubaneswar,0,0,656100.0,0,Active,2023-05-18,2024-09-25
